project_cnt,success_usd_pledged_real,success_usd_goal_real,success_cnt,year_launched,main_category_group,state,country,usd_pledged_real,usd_goal_real
7,89586.5,73173,7,2017,"Dance, Music & Theater",successful,BE,89586.5,73173
31,1362992.05,424385.33,31,2017,Games & Technology,successful,SG,1362992.05,424385.33
100,435910.74,271230.96,100,2015,Fashion,successful,AU,435910.74,271230.96
10,36162.35,31338.62,10,2016,Food,successful,ES,36162.35,31338.62
50,80346.11,72459.61,50,2015,"Dance, Music & Theater",successful,SE,80346.11,72459.61
178,3038455.96,1118524.29,178,2014,Design,successful,CA,3038455.96,1118524.29
13,69354.23,40889.15,13,2016,Games & Technology,successful,NO,69354.23,40889.15
5,40681.13,29339.48,5,2017,Comics & Publishing,successful,AT,40681.13,29339.48
2426,21768484.54,14035843,2426,2014,Food,successful,US,21768484.54,14035843
30,0,0,0,2014,"Arts, Crafts & Phography",failed,SE,724.46,38200.09
20,0,0,0,2017,Food,failed,FR,11710.36,481474.95
5,155973.48,76860.12,5,2016,Food,successful,NZ,155973.48,76860.12
130,345112.1,310488.71,130,2014,"Dance, Music & Theater",successful,AU,345112.1,310488.71
40,0,0,0,2015,Food,failed,NZ,2761.7,540823.28
120,4230322.48,1272186.75,120,2017,Games & Technology,successful,AU,4230322.48,1272186.75
750,0,0,0,2014,"Film, Video & Journalism",failed,CA,385392.84,21717918.93
195,0,0,0,2017,Games & Technology,failed,MX,41579.33,12380611.75
238,0,0,0,2014,Fashion,failed,AU,135630.39,1882695.57
27,191809.51,121869.41,27,2016,Design,successful,ES,191809.51,121869.41
2670,75366602.41,19638934,2670,2014,Design,successful,US,75366602.41,19638934
128,353790.37,302422.38,128,2014,Food,successful,CA,353790.37,302422.38
9,42484.05,35114.85,9,2017,Comics & Publishing,successful,NO,42484.05,35114.85
1224,4320221.09,3599692.21,1224,2014,"Film, Video & Journalism",successful,GB,4320221.09,3599692.21
11,0,0,0,2017,Comics & Publishing,failed,BE,4195.51,116742.18
20,749177.52,302003.57,20,2016,Games & Technology,successful,AT,749177.52,302003.57
60,4820573.63,3740214.74,60,2012,Games & Technology,successful,GB,4820573.63,3740214.74
314,1569514.81,977244.42,314,2014,Comics & Publishing,successful,CA,1569514.81,977244.42
39,988848.54,333574.64,39,2016,Design,successful,SG,988848.54,333574.64
54,6200457.92,639354.12,54,2016,Design,successful,NL,6200457.92,639354.12
5,21334.46,11027.06,5,2016,Comics & Publishing,successful,SG,21334.46,11027.06
18,0,0,0,2017,Games & Technology,failed,DK,17172.29,586866.59
4,25805.88,5069.82,4,2013,Food,successful,AU,25805.88,5069.82
33,283259.68,208504.22,33,2017,"Film, Video & Journalism",successful,FR,283259.68,208504.22
54,0,0,0,2015,Comics & Publishing,failed,FR,21243.91,569885.96
18,64552.26,53855.93,18,2016,Food,successful,FR,64552.26,53855.93
7,0,0,0,2016,"Arts, Crafts & Phography",failed,SG,673.16,86942.32
1376,0,0,0,2015,Games & Technology,failed,CA,767515.459999999,55571451.04
13,107059.04,87851.15,13,2017,"Film, Video & Journalism",successful,IT,107059.04,87851.15
13,0,0,0,2016,"Arts, Crafts & Phography",failed,HK,166.95,829683.61
24,484381.12,163391.04,24,2013,Design,successful,AU,484381.12,163391.04
73,2432550.99,606079.47,73,2016,Design,successful,FR,2432550.99,606079.47
305,0,0,0,2017,Games & Technology,failed,DE,452371.08,24419919.94
6,68414.91,51505.55,6,2016,Fashion,successful,CH,68414.91,51505.55
62,0,0,0,2015,"Film, Video & Journalism",failed,NZ,20208.44,331765.1
